# #1316 retiring-vocabulary ratchet baseline. Regenerate with:
#   ./scripts/gate-1316-terminology-ratchet.sh --update-baseline
# Counts are OCCURRENCES per (term, scope). Only-down is enforced.
# term	scope	count
cove	crates	143
cove	fe	0
cove	docs	0
cove	e2e	0
wave	crates	741
wave	fe	19
wave	docs	12
wave	e2e	0
spec	crates	477
spec	fe	59
spec	docs	0
spec	e2e	1
runtime_id	crates	1255
runtime_id	fe	0
runtime_id	docs	1
runtime_id	e2e	4
harness_item	crates	262
harness_item	fe	95
harness_item	docs	2
harness_item	e2e	0
